id,sku,brand,name,colorway,gender,silhouette,releaseYear,releaseDate,retailPrice,estimatedMarketValue,story,image,stockXLink,goatLink,flightClubLink,stadiumGoodsLink
a85e6b9e-7857-4e7e-91bf-80ee8beb7a16,DM3047-001,Nike,Nike Air Max BW OG Black Persian Violet Leather (2021),Black/Persian Violet-White,men,Air Max BW,2021,2021-09-23,140,152,"The Nike Air Max BW OG ‘Black Persian Violet’ delivers a twist on the retro runner’s original 1991 colorway. An inky black finish is executed on the leather upper, save for a wraparound white leather overlay and Persian Violet accents on the Swoosh, interior collar and padded tongue. The sneaker rests on a two-tone polyurethane midsole with a ‘Big Window’ Max Air unit that gives the shoe its name. Underfoot, the rubber outsole features Nike’s classic waffle traction outsole for reliable grip.",https://image.goat.com/attachments/product_template_pictures/images/060/469/713/original/DM3047_001.png.png,https://stockx.com/nike-air-max-bw-black-violet-leather, https://goat.com/sneakers/air-max-bw-og-black-persian-violet-dm3047-001, https://flightclub.com/air-max-bw-og-black-persian-violet-dm3047-001,
a87b8aa4-eff1-4813-9e01-4677798ba791,DD2314-104,Nike,Nike Dunk High Championship Navy (PS),White/Midnight Navy-Total Orange,child,Dunk,2021,2021-09-23,75,79,"The Nike Dunk High PS ‘Midnight Navy’ brings back an OG colorway in little kid sizing. Originally made for Villanova University as part of the 1985 ‘Be True to Your School’ series, the vintage hoops shoe features an all-leather upper that combines a pristine white base with contrasting navy overlays. The sneaker is equipped with a padded textile-lined collar and a breathable nylon tongue embellished with a woven Nike tag. A durable rubber cupsole anchors the high-top, featuring a solid white midsole and navy rubber outsole.",https://image.goat.com/attachments/product_template_pictures/images/059/789/684/original/DD2314_104.png.png,https://stockx.com/nike-dunk-high-championship-navy-ps, https://goat.com/sneakers/dunk-high-ps-midnight-navy-dd2314-104, https://flightclub.com/dunk-high-ps-midnight-navy-dd2314-104,
ab8706fb-459b-406a-a9a8-a6f390032333,GW5353,adidas,adidas Yeezy Knit RNR Sulfur,Sulfur/Sulfur/Sulfur,men,Yeezy Knit Runner,2021,2021-09-23,200,418,"The adidas Yeezy Knit Runner ‘Sulfur’ delivers the debut colorway of Kanye West’s sock-like silhouette, which launched exclusively through the artist’s Yeezy Supply site. The fully knit build, rendered in a neutral tan shade with a contrasting mustard yellow finish throughout the majority of the upper, utilizes slip-on construction devoid of exterior branding. Embellishments are limited to sizing information stamped on the lateral collar. The sneaker rides on a durable rubber outsole in a matching yellow finish, featuring a modified herringbone tread and adidas branding under the heel.",https://image.goat.com/attachments/product_template_pictures/images/060/795/746/original/GW5353.png.png,https://stockx.com/adidas-yeezy-knit-rnr-sulfur, https://goat.com/sneakers/yeezy-knit-runner-sulfur-gw5353, https://flightclub.com/yeezy-knit-runner-sulfur-gw5353,
33d4401f-4639-4ac1-ae87-27e868338b2f,GZ7900,adidas,Adidas NMD S1 Edition 1,Cream,men,NMD_S1,2021,2021-09-22,180,365,"The adidas NMD<em>S1 ‘Cloud White’ applies a pristine finish to a futuristic addition to the NMD line, first launched in 2015 with the debut of the NMD</em>R1. Like the original, this pair makes use of a fully knit upper, rendered in a soft white finish with translucent mesh quarter panels. Details include rope laces, fused tonal three-stripe branding and an elastic collar for a snug fit. Responsive cushioning is provided by a full-length Boost midsole, concealed within a milky TPU cage with protruding pieces that nod to the NMD_R1 ’s signature plugs.",https://image.goat.com/attachments/product_template_pictures/images/060/794/473/original/GZ7900.png.png,https://stockx.com/adidas-nmd-s1-edition-1, https://goat.com/sneakers/nmd_s1-white-gz7900, https://flightclub.com/nmd_s1-white-gz7900,
3aa79757-7862-4b64-8da2-7faa3da7f439,DH9792-100,Nike,Nike Air Max 95 Smoke Grey,Summit White/Chile Red-Off Noir-Smoke Grey,men,Air Max 95,2021,2021-09-22,180,136,"The Nike Air Max 95 QS ‘Japan’ recognizes the country’s influence on American style and culture. The upper is crafted from overlapping layers of textile, highlighted by varying weaves and a gradient color scheme that fades from black to grey to white on the side panels. Webbing eyelets are rendered in Chile Red, while the reflective grey heel panel features a tonal cherry blossom print. The sneaker is mounted on a solid white polyurethane midsole with red-tinged Air-sole units in the forefoot and heel. Underfoot, the rubber outsole is enlivened with the cherry blossom pattern in red and white.",https://image.goat.com/attachments/product_template_pictures/images/060/049/899/original/806354_00.png.png,https://stockx.com/nike-air-max-95-japan-plum-blossom, https://goat.com/sneakers/air-max-95-qs-comet-japan-dh9792-100, https://flightclub.com/air-max-95-qs-comet-japan-dh9792-100,
b70c92f4-e2bb-4cdb-a2e7-db804d613f5a,GW0847,adidas,Henry Ruggs III x Superstar WS2 'Bold Blue',Bold Blue/Off White/Gold Metallic,men,Superstar,2021,2021-09-22,100,242,"Designed for NFL star Henry Ruggs III, the adidas Superstar WS2 ‘Bold Blue’ treats the iconic shell-toed silhouette to a reconstructed build. The blue suede upper is accented with white chenille three-stripes and lined in plush textile for step-in comfort. Off-white suede is utilized on the stitched eyestay, tongue and heel tab, inscribed with ‘Something Great’ in gold foil script. ‘HRIII’ is stamped in matching gold on the lateral quarter panel. The low-top is mounted on a durable rubber cupsole in a vintage off-white finish.",https://image.goat.com/attachments/product_template_pictures/images/060/411/172/original/GW0847.png.png,,https://goat.com/sneakers/henry-ruggs-x-superstar-ws2-bold-blue-gw0847, https://flightclub.com/henry-ruggs-x-superstar-ws2-bold-blue-gw0847,
c55e324d-7f56-4078-b2f0-2a6f2acd32af,CZ4149-400,Nike,Nike Air Max Furyosa Ashen Slate (W),Ashen Slate/Summit White-Venice,women,Air Max Furyosa,2021,2021-09-22,160,167,"The Nike women’s Air Max Furyosa ‘Venice’ applies subtle pastels to a lifestyle silhouette inspired by the maximalist aesthetic of ‘90s running shoes. A dual lacing system secures the upper, comprising a lavender mesh base, soft blue synthetic leather overlays and a charcoal-colored toe cap in synthetic suede. Additional details include an exposed foam tongue, dual webbing pull tabs and a semi-translucent TPU heel clip. The sneaker rides on an exaggerated foam midsole with offset, double-stacked Air-sole units in the heel. Underfoot, the speckled rubber outsole is made in part with Nike Grind.",https://image.goat.com/attachments/product_template_pictures/images/060/172/882/original/CZ4149_400.png.png,https://stockx.com/nike-air-max-furyosa-ashen-slate-w, https://goat.com/sneakers/wmns-air-max-furyosa-venice-cz4149-400, https://flightclub.com/wmns-air-max-furyosa-venice-cz4149-400,
38fc6a0f-0d38-4a0d-b537-be2d960aeda0,DO6903-400,Nike,Nike KD 14 Ron English 1,Lapis/Hyper Pink-Turquoise Blue,men,KD 14,2021,2021-09-21,150,170,"Designed in collaboration with the LA-based artist, the Nike KD 14 ‘Ron English 1’ gives Kevin Durant’s fourteenth signature shoe a visually arresting makeover. Textured shearling, in a blend of Lapis, Hyper Pink, and Turquoise Blue, covers the textile upper in a surrealist allover pattern. The hectic print is offset by a blue woven heel overlay and a midfoot strap that forms a green light bulb on the medial side and a feathered wing on the lateral side. Lightweight cushioning arrives via a lime green Cushlon foam midsole, which works in tandem with a full-length Air Zoom Strobel stitched directly to the upper.",https://image.goat.com/attachments/product_template_pictures/images/060/172/927/original/DO6903_400.png.png,https://stockx.com/nike-kd-14-ron-english, https://goat.com/sneakers/kd-14-ron-english-1-do6903-400, https://flightclub.com/kd-14-ron-english-1-do6903-400,
396ef3e4-acf4-4be2-a459-cfbe8db2b9a1,DJ3056-300,Nike,Nike Space Hippie 01 Carbon Green,Carbon Green/Electric Green-Pro Green-White,men,Space Hippie 01,2021,2021-09-21,130,107,"The Nike Space Hippie 01 ‘Carbon Green’ pairs sustainable construction with a tonal color palette. Varying shades of green are applied to a sock-like Flyknit upper made with a blend of recycled water bottles, T-shirts and yarn scraps. An embroidered Swoosh decorates the minimalist build, secured with rope laces integrated into stitched-on webbing eyestays. Neon green pull tabs at the tongue and heel deliver easy on and off. The sneaker is mounted on a speckled Crater Foam midsole, made with approximately 11% Nike Grind rubber and standard foam materials.",https://image.goat.com/attachments/product_template_pictures/images/058/470/356/original/DJ3056_300.png.png,https://stockx.com/nike-space-hippie-01-carbon-green, https://goat.com/sneakers/space-hippie-01-carbon-green-dj3056-300, https://flightclub.com/space-hippie-01-carbon-green-dj3056-300,
617b8377-75e6-46b9-a2f8-5d55d7e7e17d,DA8482-100,Nike,Nike Air Force 1 Low '07 LX Crane,White/Photon Dust/Black/Chile Red,men,Air Force 1,2021,2021-09-21,120,130,"The Nike Air Force 1 ‘07 LX ‘Crane’ dresses the iconic silhouette in a neutral palette with subtle pops of color. The upper is crafted from tumbled white leather with contrasting hits of black on the eyestay, nylon tongue and mesh collar lining. The double-layered Swoosh and heel tab are finished in Photon Dust, while the top eyelets and leather tongue tag are rendered in Chile Red. An embroidered crane graphic on the lateral heel takes inspiration from a Japanese aphorism that relates to longevity. Photon Dust is repeated on the midsole, fitted with Air-sole cushioning in the heel and reinforced by a black rubber outsole underfoot.",https://image.goat.com/attachments/product_template_pictures/images/060/210/360/original/809385_00.png.png,https://stockx.com/nike-air-force-1-low-milky-stork, https://goat.com/sneakers/air-force-1-07-lx-milky-stork-da8482-100, https://flightclub.com/air-force-1-07-lx-milky-stork-da8482-100,
